Tow #,lat,lon,pres,temp (use),sal,sigma,fluor,att.coeff.,oxygen_diss,O2_satur,pH,Om-Arag,O2
1,32.53469,-118.18642,1064.9,3.999,34.495,27.393,0.01,0.0064,0.4991,6.865537679,7.510747379,0.529743884,21.69550114
1,32.53469,-118.18643,1064.9,3.999,34.495,27.393,0.01,0.0064,0.4991,6.865537679,7.510747379,0.529743884,21.69550114
1,32.53469,-118.18644,1065.2,3.999,34.495,27.393,0.01,0.0064,0.4991,6.865537679,7.510747379,0.529743884,21.69550114
1,32.53468,-118.18644,1065.5,3.998,34.495,27.393,0.01,0.0064,0.4991,6.865371447,7.51073813,0.529716992,21.69550114
1,32.53468,-118.18645,1065.5,3.998,34.495,27.393,0.01,0.0064,0.4932,6.78421398,7.510390963,0.529761274,21.43903258
1,32.53467,-118.18645,1065,3.998,34.495,27.393,0.01,0.0064,0.4873,6.703056514,7.510043796,0.529805557,21.18256402
1,32.53466,-118.18646,1064.4,3.999,34.495,27.393,0.01,0.0064,0.4873,6.703218816,7.510053024,0.529832146,21.18256402
1,32.53466,-118.18647,1063.9,4.008,34.498,27.395,0.01,0.0052,0.4871,6.702063644,7.510124243,0.530072904,21.17382896
1,32.53466,-118.18648,1064,4.017,34.49,27.387,0.01,0.0064,0.4929,6.782977553,7.510548998,0.530271431,21.42611694
1,32.53466,-118.18648,1064.4,4.01,34.495,27.392,0.01,0.0064,0.496,6.824711847,7.51066667,0.530062006,21.56076746
1,32.53467,-118.18649,1064.8,4.002,34.498,27.395,0.01,0.0064,0.4931,6.783632867,7.510421975,0.529868984,21.43464393
1,32.53467,-118.18649,1064.9,4,34.496,27.393,0.01,0.0064,0.4888,6.724060803,7.510150519,0.529847554,21.24776789
1,32.53466,-118.1865,1064.6,3.999,34.495,27.393,0.01,0.0064,0.4873,6.703218816,7.510053024,0.529832146,21.18256402
1,32.53465,-118.18651,1064.2,3.999,34.496,27.394,0.01,0.0064,0.4873,6.703264106,7.510052996,0.529832149,21.18254341
1,32.53465,-118.18652,1064,4.005,34.495,27.392,0.01,0.0108,0.4872,6.702816864,7.510102531,0.529992409,21.17823771
1,32.53464,-118.18652,1064.2,4.006,34.494,27.391,0.01,0.0088,0.4872,6.702933854,7.510111786,0.530018992,21.17825833
1,32.53464,-118.18653,1064.5,4.003,34.495,27.393,0.01,0.0076,0.4931,6.783659609,7.51043127,0.529895715,21.43468566
1,32.53464,-118.18654,1064.5,4,34.496,27.393,0.01,0.0064,0.4932,6.784588355,7.51040944,0.529814755,21.43903258
1,32.53464,-118.18654,1064.5,3.999,34.495,27.393,0.01,0.0064,0.4873,6.703218816,7.510053024,0.529832146,21.18256402
1,32.53464,-118.18655,1064.4,4,34.496,27.394,0.01,0.0064,0.4873,6.70342641,7.510062223,0.529858738,21.18254341
1,32.53464,-118.18656,1064,4.004,34.496,27.393,0.01,0.0060,0.4842,6.661427092,7.509916717,0.52998788,21.04780936
1,32.53464,-118.18656,1063.6,4.013,34.496,27.392,0.01,0.0064,0.487,6.701408264,7.510164575,0.530206525,21.16954385
1,32.53463,-118.18657,1063.3,4.017,34.492,27.389,0.01,0.0064,0.4929,6.783069197,7.510548941,0.530271438,21.42607523
1,32.53463,-118.18658,1063.3,4.018,34.491,27.388,0.01,0.0064,0.4929,6.783187557,7.510558207,0.530298167,21.42609608
1,32.53463,-118.18658,1063.7,4.018,34.491,27.388,0.01,0.0064,0.4929,6.783187557,7.510558207,0.530298167,21.42609608
1,32.53463,-118.18659,1064.2,4.017,34.492,27.388,0.01,0.0076,0.4929,6.783069197,7.510548969,0.530271434,21.42609608
1,32.53463,-118.1866,1064.5,4.011,34.497,27.393,0.01,0.0064,0.4886,6.723145134,7.510240279,0.530141891,21.23907404
1,32.53462,-118.1866,1064.4,4.002,34.494,27.392,0.01,0.0096,0.4872,6.702284761,7.510074849,0.52991265,21.17823771
1,32.53462,-118.18661,1063.8,4.001,34.499,27.396,0.01,0.0052,0.4813,6.621183349,7.509718312,0.529929905,20.92168745
1,32.53461,-118.18662,1063.2,4.012,34.498,27.394,0.01,0.0064,0.4826,6.640790635,7.509896275,0.530211392,20.97823814
1,32.53461,-118.18663,1062.8,4.019,34.494,27.39,0.01,0.0064,0.4869,6.700914784,7.510214104,0.530366703,21.16523813
1,32.53461,-118.18663,1063,4.018,34.492,27.389,0.01,0.0060,0.4869,6.700662067,7.510204905,0.530340121,21.16525873
1,32.53461,-118.18664,1063.3,4.018,34.492,27.388,0.01,0.0064,0.4928,6.781857191,7.510552319,0.530298866,21.42174913
1,32.53461,-118.18664,1063.6,4.015,34.494,27.391,0.01,0.0064,0.487,6.701642151,7.510183057,0.530259684,21.16956446
1,32.53461,-118.18665,1063.6,4.007,34.495,27.392,0.01,0.0064,0.4871,6.701765565,7.510115099,0.530046309,21.17389078
1,32.5346,-118.18666,1063.5,4.006,34.497,27.393,0.01,0.0064,0.4812,6.620519592,7.509758591,0.530062799,20.91740162
1,32.5346,-118.18667,1063.4,4.008,34.496,27.392,0.01,0.0064,0.4783,6.580894534,7.509606356,0.530136681,20.79136104
1,32.53459,-118.18667,1063.3,4.009,34.495,27.392,0.01,0.0064,0.4812,6.620910971,7.509786267,0.530142092,20.91742198
1,32.53459,-118.18668,1063.2,4.011,34.495,27.392,0.01,0.0064,0.487,6.701038562,7.510146121,0.530153362,21.16954385
1,32.53459,-118.18668,1062.9,4.016,34.494,27.39,0.01,0.0084,0.487,6.701804368,7.510192311,0.530286262,21.16958507
1,32.53458,-118.18669,1062.8,4.018,34.492,27.389,0.01,0.0076,0.4928,6.781857191,7.510552291,0.53029887,21.42172828
1,32.53459,-118.1867,1063,4.018,34.492,27.389,0.01,0.0116,0.4928,6.781857191,7.510552291,0.53029887,21.42172828
1,32.53459,-118.18671,1063.2,4.018,34.492,27.389,0.01,0.0064,0.4928,6.781857191,7.510552291,0.53029887,21.42172828
1,32.53459,-118.18671,1063.2,4.016,34.494,27.39,0.01,0.0064,0.4914,6.762354551,7.510451362,0.530255273,21.36085031
1,32.53459,-118.18672,1063.1,4.012,34.494,27.391,0.01,0.0064,0.487,6.701155505,7.510155376,0.53017994,21.16956446
1,32.53458,-118.18673,1063,4.012,34.496,27.392,0.01,0.0064,0.4811,6.620060521,7.509808029,0.530222104,20.91307505
1,32.53457,-118.18673,1063,4.016,34.494,27.39,0.01,0.0064,0.4826,6.641254185,7.50993326,0.530317252,20.97831982
1,32.53457,-118.18674,1063,4.016,34.494,27.39,0.01,0.0068,0.487,6.701804368,7.510192311,0.530286262,21.16958507
1,32.53456,-118.18675,1063,4.016,34.493,27.39,0.01,0.0068,0.487,6.701759094,7.510192311,0.530286262,21.16958507
1,32.53456,-118.18675,1062.6,4.017,34.493,27.39,0.01,0.0064,0.4869,6.700545147,7.510195651,0.530313545,21.16523813
1,32.53456,-118.18676,1062.4,4.018,34.493,27.389,0.01,0.0052,0.4869,6.700707332,7.510204905,0.530340121,21.16525873
1,32.53456,-118.18677,1062.5,4.018,34.493,27.389,0.01,0.0064,0.4899,6.741993267,7.510381542,0.530319146,21.29566698
