       PrDM      T090C      C0S/m    Sbeox0V       FlSP     Upoly0     Upoly1     Upoly2      Sal00  Sigma-t00 Potemp090C       SvDM Sbeox0ML/L
    151.000     4.0939   3.169291     0.9722 6.0831e-02  3.1391366 -3.2480738  0.1654765    33.7981    26.8205     4.0835    1467.81     1.4676
    152.000     4.0775   3.167980     0.9695 5.9810e-02  3.1446582 -3.2542162  0.1672199    33.7990    26.8229     4.0671    1467.75     1.4583
    153.000     4.0768   3.168344     0.9651 5.9466e-02  3.1492844 -3.2728571  0.1684494    33.8036    26.8266     4.0663    1467.77     1.4249
    154.000     4.0922   3.170087     0.9564 5.9828e-02  3.1604802 -3.2580773  0.1658588    33.8078    26.8283     4.0816    1467.86     1.3894
    155.000     4.1032   3.171508     0.9472 5.9249e-02  3.1739222 -3.2534345  0.1652883    33.8127    26.8311     4.0925    1467.93     1.3558
    156.000     4.1082   3.172302     0.9375 5.9718e-02  3.1911237 -3.2478325  0.1665972    33.8164    26.8335     4.0975    1467.97     1.3235
    157.000     4.1081   3.172583     0.9300 5.8940e-02  3.2027673 -3.2478193  0.1650577    33.8193    26.8359     4.0972    1467.99     1.3024
    158.000     4.1059   3.172536     0.9223 5.9739e-02  3.2190361 -3.2465994  0.1678049    33.8204    26.8370     4.0950    1468.00     1.2890
    159.000     4.0937   3.171901     0.9155 5.8965e-02  3.2296805 -3.2575778  0.1643752    33.8250    26.8419     4.0828    1467.97     1.2498
    160.000     4.0823   3.171244     0.9088 5.7593e-02  3.2471074 -3.2716673  0.1687768    33.8284    26.8458     4.0713    1467.94     1.2295
    161.000     4.0820   3.171277     0.9020 5.8808e-02  3.2584236 -3.2765932  0.1649490    33.8286    26.8460     4.0709    1467.96     1.2190
    162.000     4.0817   3.171309     0.8974 5.9991e-02  3.2629664 -3.2726384  0.1660338    33.8287    26.8461     4.0706    1467.97     1.2177
    163.000     4.0829   3.171533     0.8944 6.1861e-02  3.2639706 -3.2648681  0.1695533    33.8297    26.8467     4.0717    1468.00     1.2152
    164.000     4.0827   3.171660     0.8933 5.7936e-02  3.2659032 -3.2726970  0.1672620    33.8308    26.8476     4.0714    1468.01     1.2098
    165.000     4.0777   3.171541     0.8910 5.9391e-02  3.2693370 -3.2804497  0.1682429    33.8341    26.8508     4.0663    1468.01     1.1972
    166.000     4.0718   3.171176     0.8885 5.9187e-02  3.2732105 -3.2789418  0.1661076    33.8353    26.8523     4.0604    1468.00     1.1931
    167.000     4.0724   3.171349     0.8864 5.8742e-02  3.2750756 -3.2793907  0.1693554    33.8362    26.8530     4.0609    1468.02     1.1858
    168.000     4.0744   3.171683     0.8837 5.9840e-02  3.2788494 -3.2790469  0.1678730    33.8376    26.8539     4.0628    1468.05     1.1757
    169.000     4.0761   3.172020     0.8806 5.8651e-02  3.2815336 -3.2825866  0.1666236    33.8393    26.8550     4.0645    1468.08     1.1624
    170.000     4.0766   3.172221     0.8784 5.8517e-02  3.2873353 -3.2882613  0.1723765    33.8406    26.8560     4.0649    1468.09     1.1534
    171.000     4.0767   3.172418     0.8754 5.8147e-02  3.2937049 -3.2889589  0.1680339    33.8423    26.8574     4.0649    1468.11     1.1410
    172.000     4.0765   3.172602     0.8722 5.9371e-02  3.3000859 -3.2866843  0.1693200    33.8441    26.8589     4.0647    1468.13     1.1351
    173.000     4.0758   3.172823     0.8680 5.8772e-02  3.3038470 -3.2825438  0.1704436    33.8469    26.8611     4.0639    1468.15     1.1159
    174.000     4.0718   3.172986     0.8628 5.8519e-02  3.3127550 -3.2857536  0.1694214    33.8525    26.8660     4.0598    1468.16     1.0877
    175.000     4.0646   3.172679     0.8583 5.9225e-02  3.3248865 -3.2974999  0.1685242    33.8558    26.8693     4.0526    1468.14     1.0792
    176.000     4.0630   3.172653     0.8542 5.8686e-02  3.3334127 -3.2921158  0.1707195    33.8566    26.8701     4.0509    1468.15     1.0711
    177.000     4.0616   3.172675     0.8505 5.8107e-02  3.3380911 -3.2961499  0.1705613    33.8577    26.8712     4.0494    1468.17     1.0631
    178.000     4.0575   3.172555     0.8462 5.8055e-02  3.3412124 -3.2935178  0.1700379    33.8600    26.8734     4.0453    1468.17     1.0380
    179.000     4.0503   3.172082     0.8404 5.8123e-02  3.3495343 -3.3046698  0.1713606    33.8613    26.8752     4.0380    1468.16     1.0158
    180.000     4.0498   3.172073     0.8347 5.8119e-02  3.3765242 -3.3136456  0.1697447    33.8612    26.8752     4.0374    1468.17     1.0114
    181.000     4.0389   3.171427     0.8163 5.8458e-02  3.3888168 -3.3126349  0.1730686    33.8643    26.8787     4.0265    1468.14     0.9564
    182.000     4.0393   3.171495     0.8155 5.8256e-02  3.3889508 -3.3087799  0.1641878    33.8641    26.8785     4.0268    1468.17     0.9566
    183.000     4.0392   3.171538     0.8155 5.7966e-02  3.3940888 -3.3175747  0.1709688    33.8642    26.8786     4.0267    1468.18     0.9564
    184.000     4.0394   3.171629     0.8147 5.8618e-02  3.3960016 -3.3232704  0.1674362    33.8646    26.8789     4.0268    1468.20     0.9554
    185.000     4.0395   3.171744     0.8141 5.8209e-02  3.3977917 -3.3195133  0.1704318    33.8652    26.8794     4.0268    1468.21     0.9515
    186.000     4.0389   3.171787     0.8128 5.7476e-02  3.3979444 -3.3186107  0.1708601    33.8659    26.8800     4.0261    1468.23     0.9470
    187.000     4.0221   3.170931     0.8044 5.8098e-02  3.3991594 -3.3173019  0.1711629    33.8726    26.8870     4.0093    1468.18     0.8834
    188.000     4.0148   3.170519     0.7904 5.8411e-02  3.4081694 -3.3297201  0.1712405    33.8747    26.8895     4.0019    1468.17     0.8517
    189.000     4.0115   3.170340     0.7851 5.9020e-02  3.4281561 -3.3367264  0.1699794    33.8754    26.8904     3.9986    1468.17     0.8456
    190.000     4.0100   3.170316     0.7820 5.8036e-02  3.4437039 -3.3380811  0.1707269    33.8762    26.8912     3.9970    1468.19     0.8392
