       PrDM      T090C      C0S/m       FlSP     Upoly0     Upoly1      Sal00 Sbeox0ML/L  Sigma-t00       SvDM Potemp090C
    118.000    19.1840   4.672876 2.9370e-01  0.0097680  0.0913128    34.6555     5.0567    24.7108    1520.74    19.1629
    119.000    19.1422   4.667856 2.9377e-01  0.0097680  0.0947406    34.6482     5.0672    24.7160    1520.63    19.1209
    120.000    19.0581   4.658906 3.0455e-01  0.0097680  0.0949285    34.6435     5.0753    24.7339    1520.40    19.0367
    121.000    19.0070   4.654344 2.9640e-01  0.0097680  0.0942162    34.6477     5.0623    24.7501    1520.28    18.9855
    122.000    18.9758   4.653031 3.0696e-01  0.0097680  0.0948874    34.6625     5.0450    24.7694    1520.22    18.9541
    123.000    18.9738   4.653526 3.2651e-01  0.0097680  0.0955127    34.6679     5.0365    24.7740    1520.24    18.9520
    124.000    18.9766   4.654258 3.6793e-01  0.0097680  0.0954548    34.6713     5.0268    24.7759    1520.27    18.9546
    125.000    18.9783   4.654990 3.7990e-01  0.0097680  0.0934561    34.6756     5.0153    24.7788    1520.29    18.9561
    126.000    18.9749   4.655542 3.2425e-01  0.0097680  0.0907735    34.6827     4.9937    24.7851    1520.31    18.9526
    127.000    18.9550   4.653720 3.2090e-01  0.0097680  0.0920135    34.6838     4.9806    24.7910    1520.27    18.9324
    128.000    18.8264   4.639262 3.5091e-01  0.0097680  0.0925109    34.6701     4.9775    24.8131    1519.90    18.8038
    129.000    18.7904   4.636060 4.1915e-01  0.0097680  0.0922388    34.6731     4.9603    24.8245    1519.82    18.7677
    130.000    18.7837   4.635622 3.2940e-01  0.0097680  0.0946119    34.6747     4.9401    24.8274    1519.82    18.7608
    131.000    18.7539   4.632284 3.3005e-01  0.0097680  0.0949431    34.6713     4.9239    24.8324    1519.75    18.7308
    132.000    18.6601   4.621245 4.0574e-01  0.0097680  0.0949588    34.6570     4.9172    24.8451    1519.48    18.6369
    133.000    18.5598   4.610216 3.3458e-01  0.0097680  0.0969851    34.6481     4.8994    24.8634    1519.20    18.5366
    134.000    18.4723   4.600573 3.9304e-01  0.0097680  0.0975505    34.6400     4.8729    24.8792    1518.95    18.4489
    135.000    18.3555   4.587012 2.9697e-01  0.0092500  0.0977454    34.6235     4.8560    24.8957    1518.61    18.3321
    136.000    18.2476   4.573400 2.5305e-01  0.0093761  0.0957480    34.5988     4.8728    24.9036    1518.29    18.2241
    137.000    18.1574   4.561879 3.0388e-01  0.0097589  0.0949094    34.5768     4.8872    24.9091    1518.02    18.1338
    138.000    18.1154   4.556665 3.3921e-01  0.0097680  0.0938471    34.5675     4.8907    24.9124    1517.90    18.0917
    139.000    18.0794   4.551637 2.8336e-01  0.0097680  0.0949745    34.5548     4.8490    24.9115    1517.80    18.0556
    140.000    17.6942   4.504436 3.0467e-01  0.0097680  0.0935144    34.4770     4.8309    24.9461    1516.59    17.6706
    141.000    17.2926   4.458086 3.3334e-01  0.0097680  0.0953447    34.4186     4.8112    24.9983    1515.35    17.2692
    142.000    17.0299   4.426680 3.4193e-01  0.0097680  0.0970886    34.3699     4.7933    25.0235    1514.53    17.0066
    143.000    16.9562   4.418886 3.1523e-01  0.0097680  0.0996735    34.3646     4.7857    25.0370    1514.32    16.9328
    144.000    16.8863   4.410939 2.6422e-01  0.0097680  0.1002834    34.3547     4.7804    25.0458    1514.11    16.8628
    145.000    16.7479   4.394846 2.5217e-01  0.0094118  0.0997111    34.3321     4.7747    25.0610    1513.68    16.7244
    146.000    16.5611   4.372640 2.6330e-01  0.0079384  0.0999849    34.2972     4.7534    25.0778    1513.09    16.5376
    147.000    16.3550   4.348607 2.1145e-01  0.0079168  0.0981291    34.2622     4.7496    25.0987    1512.44    16.3315
    148.000    16.2680   4.339684 2.3532e-01  0.0090596  0.0978876    34.2579     4.7534    25.1155    1512.19    16.2444
    149.000    16.1951   4.331344 2.6046e-01  0.0097331  0.0975247    34.2466     4.7444    25.1235    1511.97    16.1715
    150.000    16.0143   4.311069 2.0018e-01  0.0097680  0.0978132    34.2222     4.7377    25.1460    1511.40    15.9907
    151.000    15.8843   4.297594 2.0318e-01  0.0097680  0.0989652    34.2141     4.7402    25.1693    1511.00    15.8607
    152.000    15.6707   4.273805 2.2515e-01  0.0097680  0.0996710    34.1861     4.7299    25.1959    1510.32    15.6472
    153.000    15.3840   4.240549 1.9756e-01  0.0097680  0.1007973    34.1359     4.7299    25.2213    1509.38    15.3606
    154.000    15.3159   4.234760 1.6146e-01  0.0085297  0.1019936    34.1426     4.7269    25.2415    1509.19    15.2924
    155.000    15.3284   4.236937 1.8468e-01  0.0085470  0.1018490    34.1510     4.7098    25.2452    1509.26    15.3048
    156.000    15.1448   4.216756 2.0089e-01  0.0090511  0.1014714    34.1281     4.7149    25.2680    1508.67    15.1212
    157.000    15.0304   4.203891 1.9301e-01  0.0076430  0.1009710    34.1109     4.7043    25.2799    1508.30    15.0068
    158.000    14.8554   4.183239 1.5963e-01  0.0098239  0.1032339    34.0756     4.6860    25.2907    1507.72    14.8319
    159.000    14.7370   4.169231 1.4304e-01  0.0097682  0.1054881    34.0510     4.6670    25.2973    1507.33    14.7134
    160.000    14.5147   4.144653 1.3698e-01  0.0097680  0.1072219    34.0204     4.6713    25.3214    1506.60    14.4912
    161.000    14.3183   4.122870 1.5476e-01  0.0097680  0.1072779    33.9922     4.6781    25.3414    1505.95    14.2949
    162.000    14.2600   4.117195 1.5898e-01  0.0108689  0.1054348    33.9908     4.6665    25.3526    1505.78    14.2365
    163.000    14.2422   4.115270 1.5396e-01  0.0096907  0.1046864    33.9882     4.6537    25.3544    1505.73    14.2187
    164.000    14.1816   4.108484 1.4650e-01  0.0101408  0.1025618    33.9784     4.6291    25.3596    1505.54    14.1580
    165.000    13.8725   4.074411 1.3016e-01  0.0092046  0.1017178    33.9347     4.6267    25.3903    1504.50    13.8491
    166.000    13.6227   4.048168 1.1974e-01  0.0078406  0.1033178    33.9105     4.6271    25.4231    1503.67    13.5994
    167.000    13.4391   4.028810 1.3008e-01  0.0079938  0.1040106    33.8916     4.6350    25.4459    1503.05    13.4158
    168.000    13.3704   4.023012 1.3636e-01  0.0092576  0.1061345    33.8976     4.6263    25.4645    1502.85    13.3471
    169.000    13.0355   3.986601 1.0754e-01  0.0101309  0.1053992    33.8518     4.6143    25.4963    1501.70    13.0125
    170.000    12.8885   3.972107 9.8937e-02  0.0091465  0.1053099    33.8451     4.6196    25.5203    1501.21    12.8656
    171.000    12.8479   3.968091 1.0736e-01  0.0103965  0.1066786    33.8428     4.6180    25.5265    1501.09    12.8249
    172.000    12.8396   3.967406 1.1985e-01  0.0097387  0.1041555    33.8433     4.6096    25.5286    1501.08    12.8164
    173.000    12.8030   3.963726 1.0962e-01  0.0100406  0.1031434    33.8406     4.5940    25.5337    1500.97    12.7797
    174.000    12.7106   3.954062 1.0192e-01  0.0083574  0.1025018    33.8308     4.5827    25.5442    1500.66    12.6873
    175.000    12.6009   3.942318 1.0881e-01  0.0073407  0.1033372    33.8165     4.5684    25.5546    1500.29    12.5776
    176.000    12.3825   3.920346 9.3422e-02  0.0089684  0.1074514    33.8016     4.5603    25.5854    1499.55    12.3593
    177.000    12.2343   3.905503 8.6728e-02  0.0097683  0.1068966    33.7917     4.5562    25.6061    1499.05    12.2112
    178.000    12.1682   3.898471 9.7994e-02  0.0112915  0.1084747    33.7830     4.5466    25.6120    1498.83    12.1451
    179.000    12.1011   3.891421 9.1641e-02  0.0112154  0.1084316    33.7749     4.5366    25.6185    1498.61    12.0779
    180.000    12.0977   3.892910 8.6438e-02  0.0109458  0.1087512    33.7921     4.5352    25.6324    1498.63    12.0744
    181.000    12.0656   3.890437 8.4307e-02  0.0111489  0.1072557    33.7966     4.5360    25.6421    1498.54    12.0423
    182.000    12.0426   3.888348 8.3443e-02  0.0113936  0.1060219    33.7968     4.5349    25.6466    1498.48    12.0191
    183.000    12.0228   3.886437 8.0122e-02  0.0102982  0.1039528    33.7958     4.5287    25.6495    1498.43    11.9992
    184.000    11.9135   3.875095 8.5732e-02  0.0088821  0.1046363    33.7842     4.5240    25.6611    1498.05    11.8899
    185.000    11.8049   3.863607 8.3332e-02  0.0097970  0.1060137    33.7704     4.5079    25.6708    1497.68    11.7814
    186.000    11.6953   3.853677 7.8069e-02  0.0102221  0.1080884    33.7726     4.4955    25.6930    1497.32    11.6718
    187.000    11.6011   3.844024 7.6382e-02  0.0097735  0.1098675    33.7634     4.4885    25.7032    1497.00    11.5776
    188.000    11.5136   3.836382 7.8771e-02  0.0108827  0.1103778    33.7677     4.4870    25.7227    1496.72    11.4901
    189.000    11.3987   3.825721 8.2403e-02  0.0121427  0.1107356    33.7674     4.4793    25.7436    1496.33    11.3752
    190.000    11.2835   3.814846 7.7107e-02  0.0110531  0.1118619    33.7651     4.4670    25.7627    1495.94    11.2600
    191.000    11.2115   3.807916 7.1442e-02  0.0125786  0.1124188    33.7621     4.4520    25.7735    1495.70    11.1880
    192.000    11.1081   3.797551 7.4023e-02  0.0097838  0.1095733    33.7538     4.4398    25.7857    1495.35    11.0847
    193.000    10.9645   3.784155 7.2680e-02  0.0111879  0.1116573    33.7523     4.4394    25.8102    1494.85    10.9411
    194.000    10.9111   3.779691 6.9967e-02  0.0111996  0.1117430    33.7565     4.4373    25.8231    1494.69    10.8877
    195.000    10.8827   3.777439 7.2879e-02  0.0120911  0.1103280    33.7598     4.4374    25.8307    1494.61    10.8591
    196.000    10.8796   3.777263 7.2821e-02  0.0121928  0.1081354    33.7604     4.4225    25.8317    1494.61    10.8560
    197.000    10.7664   3.766814 6.8395e-02  0.0099030  0.1076042    33.7600     4.3934    25.8515    1494.23    10.7428
    198.000    10.5621   3.746838 7.1045e-02  0.0087484  0.1077621    33.7482     4.3674    25.8781    1493.50    10.5387
    199.000    10.4726   3.738924 7.3019e-02  0.0091643  0.1089078    33.7511     4.3252    25.8959    1493.21    10.4492
