Sample.number	Marker	replicate	Extraction_lab	Sequencing_lab	Library_name	Location.name	Location.ID	SampleID	Cruise	Station	Tow	net	Mesh_size	Size_frac	Min_depth	Max_depth	Depth_midpoint	depth_bin	Diel	dna-conc	Province	Lat(N)	Lon(W)
S792	COI	rep2	BATS	Allen	Library-BB	Subtropical Gyre North East	3	M25N1	NH1208	34	25	1	100um	na	800	1000	900		day	10997.449		33.5469525	-134.9893835
S793	COI	rep2	BATS	Allen	Library-BB	Subtropical Gyre North East	3	M25N2	NH1208	34	25	2	100um	na	600	800	700		day	10921.785		33.5469525	-134.9893835
S794	COI	rep2	BATS	Allen	Library-BB	Subtropical Gyre North East	3	M25N3	NH1208	34	25	3	100um	na	400	600	500		day	12945.379		33.5469525	-134.9893835
S795	COI	rep2	BATS	Allen	Library-BB	Subtropical Gyre North East	3	M25N4	NH1208	34	25	4	100um	na	200	400	300		day	11184.754		33.5469525	-134.9893835
S796	COI	rep2	BATS	Allen	Library-BB	Subtropical Gyre North East	3	M25N5	NH1208	34	25	5	100um	na	100	200	150		day	10085.963		33.5469525	-134.9893835
S797	COI	rep2	BATS	Allen	Library-BB	Subtropical Gyre North East	3	M25N6	NH1208	34	25	6	100um	na	50	100	75		day	12671.079		33.5469525	-134.9893835
S798	COI	rep2	BATS	Allen	Library-BB	Subtropical Gyre North East	3	M25N7	NH1208	34	25	7	100um	na	25	50	38		day	11882.707		33.5469525	-134.9893835
S799	COI	rep2	BATS	Allen	Library-BB	Subtropical Gyre North East	3	M25N8	NH1208	34	25	8	100um	na	0	25	13		day	10899.945		33.5469525	-134.9893835
S800	COI	rep2	BATS	Allen	Library-BB	na	na	MOCK-EVEN	na	na	na	na	100um	na	na	na	na		na	9150		na	na
S801	COI	rep2	BATS	Allen	Library-BB	na	na	MOCK-STAGGERED	na	na	na	na	100um	na	na	na	na		na	11600		na	na
S802	COI	rep2	BATS	Allen	Library-BB	na	na	NC	na	na	na	na	100um	na	na	na	na		na	1		na	na
S803	COI	rep3	BATS	Allen	Library-BB	Subarctic Gyre South East	1	M7N1	NH1208	7	7	1	100um	na	800	1000	900		day	10280.632		47.0103165	-144.6739975
S804	COI	rep3	BATS	Allen	Library-BB	Subarctic Gyre South East	1	M7N2	NH1208	7	7	2	100um	na	600	800	700		day	6117.979		47.0103165	-144.6739975
S805	COI	rep3	BATS	Allen	Library-BB	Subarctic Gyre South East	1	M7N3	NH1208	7	7	3	100um	na	400	600	500		day	12193.783		47.0103165	-144.6739975
S806	COI	rep3	BATS	Allen	Library-BB	Subarctic Gyre South East	1	M7N4	NH1208	7	7	4	100um	na	200	400	300		day	9311.923		47.0103165	-144.6739975
S807	COI	rep3	BATS	Allen	Library-BB	Subarctic Gyre South East	1	M7N5	NH1208	7	7	5	100um	na	100	200	150		day	12869.837		47.0103165	-144.6739975
S808	COI	rep3	BATS	Allen	Library-BB	Subarctic Gyre South East	1	M7N6	NH1208	7	7	6	100um	na	50	100	75		day	10037.504		47.0103165	-144.6739975
S809	COI	rep3	BATS	Allen	Library-BB	Subarctic Gyre South East	1	M7N7	NH1208	7	7	7	100um	na	25	50	38		day	11460.431		47.0103165	-144.6739975
S810	COI	rep3	BATS	Allen	Library-BB	Subarctic Gyre South East	1	M7N8	NH1208	7	7	8	100um	na	0	25	13		day	9262.241		47.0103165	-144.6739975
S811	COI	rep3	BATS	Allen	Library-BB	Subarctic Gyre South East	1	M8N1	NH1208	7	8	1	100um	na	800	1000	900		night	10260.733		47.0103165	-144.6739975
S812	COI	rep3	BATS	Allen	Library-BB	Subarctic Gyre South East	1	M8N2	NH1208	7	8	2	100um	na	600	800	700		night	10523.166		47.0103165	-144.6739975
S813	COI	rep3	BATS	Allen	Library-BB	Subarctic Gyre South East	1	M8N3	NH1208	7	8	3	100um	na	500	600	550		night	11636.337		47.0103165	-144.6739975
S814	COI	rep3	BATS	Allen	Library-BB	Subarctic Gyre South East	1	M8N4	NH1208	7	8	4	100um	na	300	500	400		night	13219.371		47.0103165	-144.6739975
S815	COI	rep3	BATS	Allen	Library-BB	Subarctic Gyre South East	1	M8N5	NH1208	7	8	5	100um	na	100	300	200		night	11619.021		47.0103165	-144.6739975
S816	COI	rep3	BATS	Allen	Library-BB	Subarctic Gyre South East	1	M8N6	NH1208	7	8	6	100um	na	50	100	75		night	10609.201		47.0103165	-144.6739975
S817	COI	rep3	BATS	Allen	Library-BB	Subarctic Gyre South East	1	M8N7	NH1208	7	8	7	100um	na	25	50	38		night	13713.521		47.0103165	-144.6739975
S818	COI	rep3	BATS	Allen	Library-BB	Subarctic Gyre South East	1	M8N8	NH1208	7	8	8	100um	na	0	25	13		night	9517.211		47.0103165	-144.6739975
S819	COI	rep3	BATS	Allen	Library-BB	Transition East	2	M11N1	NH1208	15	11	1	100um	na	800	1000	900		day	11035.934		43.04988	-138.1465175
S820	COI	rep3	BATS	Allen	Library-BB	Transition East	2	M11N2	NH1208	15	11	2	100um	na	600	800	700		day	11804.184		43.04988	-138.1465175
S821	COI	rep3	BATS	Allen	Library-BB	Transition East	2	M11N3	NH1208	15	11	3	100um	na	400	600	500		day	12173.249		43.04988	-138.1465175
S822	COI	rep3	BATS	Allen	Library-BB	Transition East	2	M11N4	NH1208	15	11	4	100um	na	200	400	300		day	12365.116		43.04988	-138.1465175
S823	COI	rep3	BATS	Allen	Library-BB	Transition East	2	M11N5	NH1208	15	11	5	100um	na	100	200	150		day	11342.03		43.04988	-138.1465175
S824	COI	rep3	BATS	Allen	Library-BB	Transition East	2	M11N6	NH1208	15	11	6	100um	na	50	100	75		day	10593.157		43.04988	-138.1465175
S825	COI	rep3	BATS	Allen	Library-BB	Transition East	2	M11N7	NH1208	15	11	7	100um	na	25	50	38		day	5473.42		43.04988	-138.1465175
S826	COI	rep3	BATS	Allen	Library-BB	Transition East	2	M11N8	NH1208	15	11	8	100um	na	0	25	13		day	12257.849		43.04988	-138.1465175
S827	COI	rep3	BATS	Allen	Library-BB	Transition East	2	M12N1	NH1208	15	12	1	100um	na	800	1000	900		night	5381.469		43.04988	-138.1465175
S828	COI	rep3	BATS	Allen	Library-BB	Transition East	2	M12N2	NH1208	15	12	2	100um	na	600	800	700		night	11955.3		43.04988	-138.1465175
S829	COI	rep3	BATS	Allen	Library-BB	Transition East	2	M12N3	NH1208	15	12	3	100um	na	400	600	500		night	13141.958		43.04988	-138.1465175
S830	COI	rep3	BATS	Allen	Library-BB	Transition East	2	M12N4	NH1208	15	12	4	100um	na	200	400	300		night	11340.359		43.04988	-138.1465175
S831	COI	rep3	BATS	Allen	Library-BB	Transition East	2	M12N5	NH1208	15	12	5	100um	na	100	200	150		night	9232.018		43.04988	-138.1465175
S832	COI	rep3	BATS	Allen	Library-BB	Transition East	2	M12N6	NH1208	15	12	6	100um	na	50	100	75		night	10008.275		43.04988	-138.1465175
S833	COI	rep3	BATS	Allen	Library-BB	Transition East	2	M12N7	NH1208	15	12	7	100um	na	25	50	38		night	10396.163		43.04988	-138.1465175
S834	COI	rep3	BATS	Allen	Library-BB	Transition East	2	M12N8	NH1208	15	12	8	100um	na	0	25	13		night	10510.299		43.04988	-138.1465175
S835	COI	rep3	BATS	Allen	Library-BB	Subtropical Gyre North East	3	M26N1	NH1208	34	26	1	100um	na	800	1000	900		night	7429.702		33.5469525	-134.9893835
S836	COI	rep3	BATS	Allen	Library-BB	Subtropical Gyre North East	3	M26N2	NH1208	34	26	2	100um	na	600	800	700		night	12561.803		33.5469525	-134.9893835
